apartado,factor,a,b,diferencia,ic_bajo,ic_alto,ganadas,n,separado
A5.1,memoria,sam21 M3 x P2,sam21 M1 x P2,0.0466,-0.0428,0.1498,12,17,False
A5.1,memoria,medsam2 M3 x P2,medsam2 M1 x P2,0.0527,-0.0283,0.136,11,17,False
A5.1,memoria contra dominio,aporte de medsam2 en P2,aporte de sam21 en P2,0.0061,-0.0654,0.0775,9,17,False
A5.1,memoria,sam21 M3 x P3,sam21 M1 x P3,0.0188,-0.0758,0.1268,11,17,False
A5.1,memoria,medsam2 M3 x P3,medsam2 M1 x P3,-0.0115,-0.0793,0.0508,6,17,False
A5.1,memoria contra dominio,aporte de medsam2 en P3,aporte de sam21 en P3,-0.0303,-0.1516,0.0775,4,17,False
A5.1,memoria,sam21 M3 x P4,sam21 M1 x P4,0.0965,-0.0186,0.2093,12,17,False
A5.1,memoria,medsam2 M3 x P4,medsam2 M1 x P4,-0.035,-0.1174,0.0469,6,17,False
A5.1,memoria contra dominio,aporte de medsam2 en P4,aporte de sam21 en P4,-0.1314,-0.2362,-0.049,6,17,True
A5.3,no elegido contra elegido,medsam2 2411 en el cribado,microsam_lm vit_b en el cribado,-0.0677,-0.1464,0.0087,6,17,False
A5.3,no elegido contra elegido,medsam2 2411 en el cribado,sammed2d sam_med2d en el cribado,-0.0573,-0.1448,0.0429,4,17,False
A5.3,no elegido contra elegido,medsam2 2411 en el cribado,tinysam vit_t en el cribado,0.0312,-0.0215,0.095,8,17,False
A5.3,no elegido contra elegido,medsam2 2411 en el cribado,sam21 tiny en el cribado,0.0469,-0.0104,0.1289,10,17,False
A5.3,no elegido contra elegido,microsam_em vit_l en el cribado,microsam_lm vit_b en el cribado,-0.089,-0.1626,-0.0169,3,17,True
A5.3,no elegido contra elegido,microsam_em vit_l en el cribado,sammed2d sam_med2d en el cribado,-0.0785,-0.1366,-0.0106,3,17,True
A5.3,no elegido contra elegido,microsam_em vit_l en el cribado,tinysam vit_t en el cribado,0.01,-0.0432,0.0773,7,17,False
A5.3,no elegido contra elegido,microsam_em vit_l en el cribado,sam21 tiny en el cribado,0.0256,-0.0245,0.0896,7,17,False
A5.3,no elegido contra elegido,efficientsam vitt en el cribado,microsam_lm vit_b en el cribado,-0.0962,-0.1725,-0.0244,6,17,True
A5.3,no elegido contra elegido,efficientsam vitt en el cribado,sammed2d sam_med2d en el cribado,-0.0858,-0.1524,-0.0141,2,17,True
A5.3,no elegido contra elegido,efficientsam vitt en el cribado,tinysam vit_t en el cribado,0.0027,-0.0251,0.0286,10,17,False
A5.3,no elegido contra elegido,efficientsam vitt en el cribado,sam21 tiny en el cribado,0.0184,-0.0221,0.0632,10,17,False
A7,acuerdo humano,a1_a2 (tardio),a1_gt (tardio),-0.1811,-0.2877,-0.0716,2,16,True
A7,acuerdo humano,a1_a2 (tardio),a2_gt (tardio),-0.0931,-0.1497,-0.0261,2,16,True
A7,acuerdo humano,a1_a2 (temprano),a1_gt (temprano),-0.167,-0.2441,-0.097,2,15,True
A7,acuerdo humano,a1_a2 (temprano),a2_gt (temprano),-0.1247,-0.161,-0.0843,1,15,True
A7,modelo como anotador,modelo_a1 (tardio),a1_a2 (tardio),0.0352,-0.1052,0.1728,9,16,False
A7,modelo como anotador,modelo_a2 (tardio),a1_a2 (tardio),-0.1389,-0.2198,-0.0627,5,16,True
A7,modelo como anotador,modelo_a1 (temprano),a1_a2 (temprano),-0.0309,-0.1478,0.0697,7,15,False
A7,modelo como anotador,modelo_a2 (temprano),a1_a2 (temprano),-0.1041,-0.2387,0.0224,7,15,False
